S.No,Name,Latitude,Longitude
364,PHC Shadiheri,29.9535,75.9708
365,PHC Paramjitpur,31.2564,75.1511
366,PHC Bilaspur,30.5804,75.3701
367,PHC Ubhawal,30.2175,75.7765
368,PHC Marara,32.1716,75.3828
369,PHC Hasta Kalan,30.4753,74.0395
370,PHC Jiwan Arian,30.6916,74.3242
371,PHC Rajiana,30.6587,75.0619
372,PHC Bhaini Bagha,30.0546,75.3583
373,PHC Bhanolanga,31.2663,75.3245
374,PHC Mari Megha,31.3542,74.6300
375,PHC Matewal,31.6856,75.1464
376,PHC Kirtowal,31.2098,74.8895
377,PHC Roranwali,30.0094,74.5076
378,PHC Nangal Kalan,29.9260,75.3919
379,PHC virk Kalan,30.2503,74.7571
380,PHC Bhutal Kalan,29.9104,75.8726
381,PHC Kassoana,30.9500,74.8895
382,PHC Babehali,32.0066,75.4172
383,PHC Jourkian,29.8521,75.2102
384,PHC Jharoli,32.1104,75.5473
385,PHC Arif Ke,31.0375,74.7386
386,PHC Kokri Kalan,30.8419,75.3318
387,PHC Sant Attar Singh Cheema,30.1008,75.6780
388,PHC Taragarh,31.8611,75.1845
389,PHC MULLANPUR,30.7984,76.7454
390,PHC Lehra Mohabat,30.2384,75.1645
391,PHC PALHERI,30.7892,76.6928
392,UFWC Basti Danishmanda,31.3184,75.5429
393,PHC Kulrian,29.8025,75.6812
394,PHC Kishanpura Kalan,30.9284,75.3507
395,PHC Laduwal,30.9794,75.7930
396,PHC Sohangarh,30.6007,74.3922
397,PHC Behrampur,32.1262,75.3948
398,PHC Mandiala Kalan,30.7593,76.0896
399,PHC Sarion,30.3138,75.8901
400,PHC SUDHAR,31.8969,74.8758
401,PHC Khallu,31.3480,75.2960
402,PHC Varpal,31.5477,74.9161
403,PHC BUTALA,31.6119,75.3251
404,UPHC MALERKOTLA,30.5324,75.8826
405,PHC Pandori RanSingh,31.5224,74.8559
406,PHC Bandi,30.0518,74.7609
407,PHC Takarla,31.1063,76.3643
408,PHC Manuke,30.6713,75.4590
409,PHC Goindwal Sahib,31.3699,75.1382
410,PHC Maqsoodpur,31.5866,75.4527
